objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Cudów Świata: Pojedynek","173346","9","0","0","1","0","0","0","0","0","0","0","3","","65","","","","56191011","7.96519","8.08934","2.2256","20","168348","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.; Repos Production","Polish","2015","Polish first edition"
"7 Cudów Świata: Pojedynek – Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","68","","","","127049279","7.2371","8.08343","2.8908","0","20788","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.; Repos Production","Polish","2020","Polish edition"
"7 Cudów Świata: Pojedynek – Panteon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","35","","","","56191022","7.63126","8.00068","2.3141","0","47392","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.; Repos Production","Polish","2016","Polish edition, first printing"
"7 Wonders Duel: The Messe Essen Promo Card","186069","0","0","0","1","0","0","0","0","0","0","0","3","","0","","","","69095252","6.2482","7.35187","2.2188","0","7058","thing","7 Wonders Duel: The Messe Essen Promo Card","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English","2015","English edition"
"Abyss","155987","0","0","0","1","0","0","0","0","0","0","0","3","","85","","","","104314844","7.06157","7.32489","2.3232","418","20154","thing","Abyss","2","4","60","60","30","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Bombyx; Rebel Sp. z o.o.","Polish","2014","Polish edition"
"Aeon's End","191189","10","0","0","1","0","0","0","0","0","0","0","3","","95","","","","59049032","7.59926","7.88457","2.8037","89","32051","thing","Aeon's End","1","4","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Portal Games; Indie Boards & Cards","Polish","2018","Polish edition"
"Aeon's End: Bezimienni","212139","10","0","0","1","0","0","0","0","0","0","0","3","","55","","","","61761338","6.66046","8.37127","2.8182","0","8800","thing","Aeon's End: The Nameless","1","4","60","60","60","2019","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2019","Polish edition"
"Aeon's End: Czeluście","196421","10","0","0","1","0","0","0","0","0","0","0","3","","55","","","","61761342","6.64421","8.31821","2.7619","0","8869","thing","Aeon's End: The Depths","1","4","60","60","30","2019","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2019","Polish edition"
"Aeon's End: Legacy","241451","0","0","0","1","0","0","0","0","0","0","0","3","","176","","","","82466869","7.28536","8.05946","2.8351","240","10834","thing","Aeon's End: Legacy","1","4","90","90","45","2021","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Portal Games","Polish","2021","Polish edition"
"Aeon's End: Niezbadany Mrok","228552","0","0","0","1","0","0","0","0","0","0","0","3","","61","","","","103314720","6.51428","8.45817","2.9231","0","6996","thing","Aeon's End: The Outer Dark","1","4","60","60","60","2020","1,2,3,4","2","10+","","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2020","Polish edition"
"Aeon's End: Nowy Początek","270633","0","0","0","1","0","0","0","0","0","0","0","3","","207","","","","117075813","7.1724","8.51021","2.9412","313","7692","thing","Aeon's End: The New Age","1","4","60","60","60","2023","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2023","Polish edition"
"Aeon's End: Otchłań","223914","0","0","0","1","0","0","0","0","0","0","0","3","","61","","","","129368156","6.50261","8.44078","2.9091","0","7112","thing","Aeon's End: The Void","1","4","60","0","60","2020","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2020","Polish edition"
"Aeon's End: Pogrzebane Sekrety","246805","0","0","0","1","0","0","0","0","0","0","0","3","","63","","","","103314716","6.06305","8.34034","3","0","4460","thing","Aeon's End: Buried Secrets","1","4","60","60","60","2022","1,2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2022","Polish edition"
"Aeon's End: Strzaskane Marzenia","274930","0","0","0","1","0","0","0","0","0","0","0","3","","65","","","","120558137","5.94079","8.47319","3","0","3324","thing","Aeon's End: Shattered Dreams","1","4","60","60","60","2023","1,2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2023","Polish edition"
"Aeon's End: Tajemnica Dziczy","274927","0","0","0","1","0","0","0","0","0","0","0","3","","61","","","","129368163","6.01437","8.57935","3.25","0","3532","thing","Aeon's End: Into the Wild","1","4","60","60","60","2023","1,2,3,4","1,2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Portal Games","Polish","2023","Polish edition"
"Aeon's End: Wieczna Wojna","218417","10","0","0","1","0","0","0","0","0","0","0","3","","110","","","","66403027","7.46912","8.24806","2.9231","142","13642","thing","Aeon's End: War Eternal","1","4","60","60","60","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Indie Boards & Cards; Portal Games","Polish","2019","Polish edition"
"Agricola: Chłopi i ich zwierzyniec – Big Box","255262","0","0","0","1","0","0","0","0","0","0","0","3","","75","","","","98731465","6.48338","7.64134","2.3226","0","4885","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2021","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lacerta; Lookout Games","Polish","2021","Polish edition"
"Alhambra","6249","7.5","0","0","1","0","0","0","0","0","0","0","3","","56","","","","53796591","6.90667","7.0321","2.1001","584","43517","thing","Alhambra","2","6","60","60","45","2016","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games; Rebel Sp. z o.o.","Polish","2016","Rebel Polish edition"
"Alhambra: Power of the Sultan","39109","0","0","0","1","0","0","0","0","0","0","0","3","","30","","","","66344088","5.6978","6.99875","2.44","0","1590","thing","Alhambra: Power of the Sultan","2","6","60","60","45","2008","2,3,4,5","3,4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","Dutch; English; French; Italian; Spanish","2008","Multilingual edition"
"Alhambra: The Treasure Chamber","22279","0","0","0","1","0","0","0","0","0","0","0","3","","30","","","","66344080","5.85692","7.05737","2.2812","0","2543","thing","Alhambra: The Treasure Chamber","2","6","60","60","60","2009","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Italian; Spanish","2009","Multilingual edition"
"All Hail King Julien","221918","0","0","0","1","0","0","0","0","0","0","0","3","","7","","","","56085726","0","5.07778","1","0","39","thing","All Hail King Julien","2","5","15","15","10","2016","","","","","","","","","","standalone","","","","","","","","","","","","PHALANX","Polish","2016","Polish edition"
"Alone","181495","0","0","0","1","0","0","0","0","0","0","0","3","","190","","","","125465061","6.04222","7.5192","3.3125","2784","2836","thing","Alone","2","4","120","120","60","2022","2,3","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Galakta; Horrible Guild","Polish","2022","Polish edition"
"Altiplano","234487","0","0","0","1","0","0","0","0","0","0","0","3","","89","","","","66345613","7.04722","7.44892","3.2866","430","12497","thing","Altiplano","2","5","120","120","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Baldar; dlp games","Polish","2018","Polish edition"
"Altiplano: Podróżnik","257047","0","0","0","1","0","0","0","0","0","0","0","3","","55","","","","66345619","5.99292","7.49388","3.125","0","3739","thing","Altiplano: The Traveler","2","5","120","120","60","2018","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Baldar; dlp games","Polish","2018","Polish edition"
"Amazonia","295607","0","0","0","1","0","0","0","0","0","0","0","3","","63","","","","97687197","6.57458","7.29232","2","1090","8852","thing","Canopy","1","4","30","30","30","2021","1,2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lucky Duck Games","Polish","2021","Polish edition"
"Amazonki","206915","0","0","0","1","0","0","0","0","0","0","0","3","","14","","","","86695035","6.48488","7.21929","1.1628","1275","5968","thing","Tempel des Schreckens","3","10","15","15","15","2018","4,5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Ankh: Bogowie Egiptu","285967","0","0","0","1","0","0","0","0","0","0","0","3","","250","","","","101901390","7.28838","7.77234","3.1219","238","17836","thing","Ankh: Gods of Egypt","2","5","90","90","90","2022","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games; CMON Global Limited; Guillotine Games","Polish","2022","Polish edition"
"Ark Nova","342942","0","0","0","1","0","0","0","0","0","0","0","3","","185","","","","112608702","8.3429","8.53538","3.7773","3","73620","thing","Ark Nova","1","4","150","150","90","2022","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Feuerland Spiele; Portal Games","Polish","2022","Polish edition"
"Arkana Magii","309408","0","0","0","1","0","0","0","0","0","0","0","3","","50","","","","112390997","5.88771","6.87327","2.1111","3743","1981","thing","Arcana Rising","1","6","60","60","20","2022","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Grey Fox Games; Portal Games","Polish","2022","Polish edition"
"Ascension: Czwarta edycja","325810","8","0","0","1","0","0","0","0","0","0","0","3","","138","","","","119642330","6.11915","7.76626","1.7857","2426","1943","thing","Ascension: 10 Year Anniversary Edition","1","4","30","30","30","2024","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.; Stone Blade Entertainment; Ultra PRO","Polish","2024","Polish edition"
"Automobile: Początki motoryzacji","171879","0","0","0","1","0","0","0","0","0","0","0","3","","40","","","","70001761","6.45387","7.2272","2.8475","1357","3992","thing","Kraftwagen","2","4","75","75","75","2016","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","G3","Polish","2016","Polish edition"
"AuZtralia","231581","0","0","0","1","0","0","0","0","0","0","0","3","","180","","","","100172242","6.76545","7.34783","2.8802","767","7878","thing","AuZtralia","1","4","120","120","30","2018","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","PHALANX","Polish","2018","Polish edition"
"AuZtralia: TaZmania","320110","0","0","0","1","0","0","0","0","0","0","0","3","","29","","","","128711440","5.70963","8.07344","2.7143","0","1721","thing","AuZtralia: TaZmania","1","2","90","90","30","2022","1,2","1,2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","PHALANX; SchilMil Games, Ltd.; Stronghold Games","Polish","2022","Polish edition"
"AuZtralia: Zemsta Przedwiecznych","313047","0","0","0","1","0","0","0","0","0","0","0","3","","20","","","","100172256","5.63515","7.58312","2.7143","0","1524","thing","AuZtralia: Revenge of the Old Ones","1","5","150","150","45","2022","1,2,3,4","3,4","12","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","PHALANX; SchilMil Games, Ltd.; Stronghold Games","Polish","2022","Polish edition"
"Avalon: Rycerze Króla Artura","128882","0","0","0","1","0","0","0","0","0","0","0","3","","20","","","","70070322","7.31886","7.50577","1.7409","217","50869","thing","The Resistance: Avalon","5","10","30","30","30","2013","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Portal Games; Indie Boards & Cards","Polish","2013","Polish edition 2013"
"Azul","230802","8","0","0","1","0","0","0","0","0","0","0","3","","113","","","","82525091","7.62569","7.73541","1.7684","84","160605","thing","Azul","2","4","45","45","30","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Lacerta; Next Move Games","Polish","2018","Lacerta Polish edition"
"Bale i skandale","220","0","0","0","1","0","0","0","0","0","0","0","3","","42","","","","117682255","6.9528","7.18492","1.4841","530","21854","thing","High Society","3","5","30","30","15","2024","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Muduko","Polish","2024","Polish edition"
"Betrayal at House on the Hill: 3rd Edition","358504","0","0","0","1","0","0","0","0","0","0","0","3","","110","","","","115239842","6.42984","7.32679","2.4048","1408","9548","thing","Betrayal at House on the Hill: 3rd Edition","3","6","60","60","60","2022","4,5,6","5","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Avalon Hill; Hasbro","Polish","2022","Polish edition"
"Beyond the Sun","317985","0","0","0","1","0","0","0","0","0","0","0","3","","154","","","","127853345","7.57919","7.89328","3.133","95","18046","thing","Beyond the Sun","2","4","120","120","60","2023","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.; Rio Grande Games","Polish","2023","Polish edition"
"Biały Zamek","371942","0","0","0","1","0","0","0","0","0","0","0","3","","109","","","","127761368","7.57194","7.98924","3.0265","97","25294","thing","The White Castle","1","4","80","80","80","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Portal Games","Polish","2024","Polish edition"
"Bitwa o Tortugę","142980","0","0","0","1","0","0","0","0","0","0","0","3","","12","","","","86729242","5.53724","6.31957","1.6","14133","224","thing","Nanahoshi","2","2","10","10","10","2018","2","2","6+","","","","","","","standalone","","","","","","","","","","","","FoxGames","Polish","2018","Polish edition, second printing"
"Blackout: Hong Kong","262215","0","0","0","1","0","0","0","0","0","0","0","3","","77","","","","88395839","6.89051","7.41212","3.47","608","9960","thing","Blackout: Hong Kong","1","4","150","150","75","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","eggertspiele; Lacerta","Polish","2019","Polish edition"
"Blank","231824","0","0","0","1","0","0","0","0","0","0","0","3","","17","","","","83829021","5.58896","6.15997","1.1818","9377","1048","thing","Blank","2","6","15","15","10","2018","2,3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2018","Polish edition"
"Blank: Blankdemic","255877","0","0","0","1","0","0","0","0","0","0","0","3","","8","","","","83829027","0","6.52174","0","0","162","thing","Blank: Blankdemic","2","6","15","15","10","2019","","","","","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2019","Polish edition"
"Botanik","271529","8","0","0","1","0","0","0","0","0","0","0","3","","57","","","","106737859","6.60466","7.54366","1.7647","1032","5234","thing","Botanik","2","2","30","30","30","2021","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.; Space Cowboys","Polish","2021","Polish edition"
"Box Monster","284299","0","0","0","1","0","0","0","0","0","0","0","3","","50","","","","105884428","5.51015","6.221","1","20689","120","thing","Box Monster","2","4","20","20","10","2021","","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Granna; Mandoo Games","Polish","2021","Polish edition"
"Brass: Birmingham","224517","0","0","0","1","0","0","0","0","0","0","0","3","","224","","","","75860390","8.40602","8.58218","3.8716","1","71445","thing","Brass: Birmingham","2","4","120","120","60","2019","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","PHALANX; Roxley","Polish","2019","PHALANX Polish edition, first printing"
"Brazil: Świt Imperium","249277","0","0","0","1","0","0","0","0","0","0","0","3","","115","","","","94780246","6.66833","7.55221","2.9837","930","6624","thing","Brazil: Imperial","1","4","100","100","100","2021","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lucrum Games; MeepleBR","Polish","2021","Polish edition"
"Broom Service: Szalone czarownice","172308","0","0","0","1","0","0","0","0","0","0","0","3","","50","","","","52233629","6.85977","7.16292","2.4018","650","17156","thing","Broom Service","2","5","75","75","30","2016","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","Polish","2016","Polish edition"
"Brzdęk! Ekspedycje: Po Złoto i Pajęczyny","257276","0","0","0","1","0","0","0","0","0","0","0","3","","45","","","","66344118","6.6267","8.01242","2.2105","0","8240","thing","Clank! Expeditions: Gold and Silk","2","4","60","60","30","2019","2,3,4","3,4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2019","Polish edition"
"Brzdęk! Katakumby","365717","0","0","0","1","0","0","0","0","0","0","0","3","","164","","","","110682046","7.63874","8.26377","2.5","80","15621","thing","Clank!: Catacombs","2","4","90","90","45","2023","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lucrum Games","Polish","2023","Polish edition"
"Brzdęk! Legacy: Acquisitions Incorporated","266507","0","0","0","1","0","0","0","0","0","0","0","3","","290","","","","100137285","7.94604","8.52496","2.7338","23","17821","thing","Clank! Legacy: Acquisitions Incorporated","2","4","120","120","90","2022","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Lucrum Games","Polish","2022","Polish edition"
"Brzdęk!: Bić czy wiać?","214309","8","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68492986","5.63341","7.74127","2.25","0","1060","thing","Clank!: Brawn vs. Boots Promo Card","2","4","60","60","30","2018","1,2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Cudowne okulary","233950","8","0","0","1","0","0","0","0","0","0","0","3","","14","","","","68493006","5.63472","7.61541","2.3333","0","1116","thing","Clank!: Magic Spectacles","1","4","60","60","30","2018","1,2,3,4","3,4","12+","","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Klątwa Mumii","245377","0","0","0","1","0","0","0","0","0","0","0","3","","65","","","","115202882","6.78598","7.8722","2.25","0","10688","thing","Clank!: The Mummy's Curse","2","4","60","60","30","2019","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2019","Polish edition"
"Brzdęk!: Liderka ekspedycji","257694","9","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68493034","5.59573","7.81262","2.5","0","780","thing","Clank!: Expedition Leader","2","4","60","60","30","2019","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2019","Polish edition"
"Brzdęk!: Nie drażnij smoka","201808","8.5","0","0","1","0","0","0","0","0","0","0","3","","135","","","","64438917","7.61018","7.77264","2.2267","86","58174","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2018","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition, first printing"
"Brzdęk!: Oswojony czyhacz","233019","7","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68493018","5.63899","7.66796","2.5","0","1203","thing","Clank!: Friendly Watcher","2","4","60","60","30","2018","1,2,3,4","3,4","12+","","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Różdżka czasu","264712","9","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68492954","5.59425","7.96584","2.5","0","617","thing","Clank!: Wand of Time","2","4","60","60","30","2018","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Szwedzki stół","223119","8","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68492965","5.74144","7.59344","2.25","0","1802","thing","Clank!: Snack Table","1","4","60","60","30","2018","2,3,4","4","12+","","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Wilkor","206565","7","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68492976","5.70319","7.2947","2.25","0","1825","thing","Clank!: Dire Wolf","2","4","90","90","60","2018","1,2,3,4","2,3","12+","","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Brzdęk!: Zaklęte kości","233895","9","0","0","1","0","0","0","0","0","0","0","3","","0","","","","68492994","5.6168","7.51562","2.5","0","986","thing","Clank!: Enchanted Dice","1","4","60","60","30","2018","1,2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Lucrum Games","Polish","2018","Polish edition"
"Calico","283155","7.5","0","0","1","0","0","0","0","0","0","0","3","","97","","","","91236717","7.26231","7.50926","2.1867","252","36777","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group; Flatout Games; Lucky Duck Games","Polish","2020","Polish edition"
"Capital","206803","0","0","0","1","0","0","0","0","0","0","0","3","","45","","","","76957251","6.37813","7.29432","2.2097","1530","2828","thing","Warsaw: City of Ruins","2","4","60","60","45","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Granna","Polish","2016","Polish edition"
"Carcassonne","822","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","42717399","7.29655","7.4118","1.8894","232","206448","thing","Carcassonne","2","5","45","45","30","2012","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Bard Centrum Gier; Hans im Glück; MINDOK","Polish","2012","Polish edition 2012"
"Carcassonne Big Box","364405","0","0","0","1","0","0","0","0","0","0","0","3","","176","","","","128711538","6.07374","8.23643","2","0","2753","thing","Carcassonne Big Box 7","2","6","35","35","35","2021","2,3,4,5,6","2,3,4","8+","","","","","","","standalone","","","","","","","","","","","","Bard Centrum Gier; Hans im Glück; MINDOK","Czech; Polish; Slovak","2021","Czech/Polish/Slovak edition"
